Id,Ingredients,Ingredients_tr
2054,chocolate covered caramel nougat bar,çikolata kaplı karamelli nuga bar
2055,chocolate covered creamy caramel candy,çikolata kaplı kremalı karamelli şeker
2056,chocolate covered creamy mint,çikolata kaplı kremalı nane
2057,chocolate covered crispy peanut butter candy,çikolata kaplı çıtır fıstık ezmeli şeker
2058,chocolate covered crispy peanut butter flavored candy,çikolata kaplı çıtır fıstık ezmesi aromalı şeker
2059,chocolate covered english toffee,çikolata kaplı İngiliz şekerlemesi
2060,chocolate covered graham cracker square,çikolata kaplı graham kraker karesi
2061,chocolate covered mint,çikolata kaplı nane
2062,chocolate covered mint cooky,çikolata kaplı naneli kurabiye
2063,chocolate covered peanut,çikolata kaplı fıstık
2064,chocolate covered peanut butter,çikolata kaplı fıstık ezmesi
2065,chocolate covered raisin,çikolata kaplı kuru üzüm
2066,chocolate covered toffee,çikolata kaplı şekerleme
2067,chocolate covered toffee bar,çikolata kaplı şekerleme barı
2068,chocolate covered toffee bit,çikolata kaplı şekerleme biti
2069,chocolate covered toffee candy bar,çikolata kaplı şekerleme şeker çubuğu
2070,chocolate covered wafer candy bar,çikolata kaplı gofret şeker çubuğu
2071,chocolate cream filled sandwich cooky,çikolatalı krema dolgulu sandviç kurabiyesi
2072,chocolate cream sandwich cooky,çikolatalı kremalı sandviç kurabiyesi
2073,chocolate curl,çikolata kıvırmak
2074,chocolate dairy whipped topping,çikolatalı sütlü çırpılmış tepesi
2075,chocolate drink mix,çikolatalı içecek karışımı
2076,chocolate drink tablet,çikolatalı içecek tableti
2077,chocolate egg,çikolatalı yumurta
2078,chocolate extract,çikolata özü
2079,chocolate fettuccine,çikolatalı fettuccine
2080,chocolate flavor candy coating,çikolata aromalı şeker kaplama
2081,chocolate flavored almond bark,çikolata aromalı badem kabuğu
2082,chocolate flavored almond milk,çikolata aromalı badem sütü
2083,chocolate flavored candy,çikolata aromalı şeker
2084,chocolate flavored confectioner coating,çikolata aromalı şekerleme kaplama
2085,chocolate flavored crispy rice cereal,çikolata aromalı çıtır pirinç gevreği
2086,chocolate flavored hazelnut spread,çikolata aromalı fındık ezmesi
2087,chocolate flavored meal powder,çikolata aromalı yemek tozu
2088,chocolate flavored milk powder,çikolata aromalı süt tozu
2089,chocolate flavored protein powder,çikolata aromalı protein tozu
2090,chocolate flavored sweetened condensed milk,çikolata aromalı şekerli yoğunlaştırılmış süt
2091,chocolate flavored syrup,çikolata aromalı şurup
2092,chocolate flavored whey protein powder,çikolata aromalı peynir altı suyu protein tozu
2093,chocolate frosted doughnut,çikolatalı donut
2094,chocolate frosting,çikolatalı krema
2095,chocolate fudge cake mix,çikolatalı şekerleme kek karışımı
2096,chocolate fudge cake mix pudding,çikolatalı şekerleme kek karışımı puding
2097,chocolate fudge frosting,çikolatalı şekerleme
2098,chocolate fudge frosting mix,çikolatalı şekerleme karışımı
2099,chocolate fudge pudding mix,çikolatalı puding karışımı
2100,chocolate fudge sauce,çikolatalı sos
2101,chocolate fudge topping,çikolatalı puding
2102,chocolate graham cracker,çikolatalı graham kraker
2103,chocolate graham cracker crumb,çikolatalı graham kraker kırıntısı
2104,chocolate graham snack,çikolatalı graham atıştırmalık
2105,chocolate hazelnut spread,çikolatalı fındık ezmesi
2106,chocolate ice cream,çikolatalı dondurma
2107,chocolate ice cream topping,çikolatalı dondurma tepesi
2108,chocolate kiss candy,çikolatalı öpücük şekeri
2109,chocolate kisse,çikolata öpücüğü
2110,chocolate kisse candy cane stripe,çikolata öpücük şeker kamışı şerit
2111,chocolate macaroon cooky,çikolatalı acıbadem kurabiyesi
2112,chocolate malt powder,çikolata malt tozu
2113,chocolate maria cooky,çikolatalı maria kurabiyesi
2114,chocolate melting wafer,çikolata eriten gofret
2115,chocolate milk,çikolatalı süt
2116,chocolate mint,çikolata nane
2117,chocolate mint chip,çikolatalı nane cipsi
2118,chocolate mix,çikolata karışımı
2119,chocolate morsel,çikolata lokması
2120,chocolate peanut butter powder,çikolata fıstık ezmesi tozu
2121,chocolate peppermint bark,çikolata nane kabuğu
2122,chocolate pie crust,çikolatalı pasta kabuğu
2123,chocolate powder,çikolata tozu
2124,chocolate protein powder,çikolata protein tozu
2125,chocolate pudding mix,çikolatalı puding karışımı
2126,chocolate sandwich cookie crumb,çikolatalı sandviç kurabiye kırıntısı
2127,chocolate sandwich cooky,çikolatalı sandviç kurabiyesi
2128,chocolate sandwich cooky creme filling,çikolatalı sandviç kurabiye krema dolgusu
2129,chocolate sauce,çikolata sosu
2130,chocolate shaving,çikolata tıraşı
2131,chocolate shell topping,çikolata kabuğu tepesi
2132,chocolate soy milk,çikolatalı soya sütü
2133,chocolate sprinkle,çikolata serpin
2134,chocolate square baking bar,çikolata kare pişirme çubuğu
2135,chocolate sundae syrup,çikolatalı dondurma şurubu
2136,chocolate syrup,çikolata şurubu
2137,chocolate toffee,çikolatalı şekerleme
2138,chocolate vanilla protein powder,çikolata vanilya protein tozu
2139,chocolate wafer,çikolatalı gofret
2140,chocolate wafer cookie crumb,çikolatalı gofret kurabiye kırıntısı
2141,chocolate wafer cooky,çikolatalı gofret kurabiyesi
2142,chocolate wafer crumb,çikolatalı gofret kırıntısı
2143,chocolate whipped cream,çikolatalı krema
2144,chocolate whipped topping,çikolatalı çırpılmış tepesi
2145,choice,seçenek
2146,cholesterol-free egg product,kolesterolsüz yumurta ürünü
2147,chop,kesmek
2148,chopstick,çubuk
2149,chopstick handle,çubuğu sapı
2150,chourico,Chourico
2151,chourico sausage,Chourico sosisi
2152,chow chow,yemek yemek
2153,chow mein noodle,şehriye yiyin
2154,choy,choy
2155,choy stalk,lahana sapı
2156,chuck,ayna
2157,chuck beef,sığır eti
2158,chuck pot roast,pound) dana eti kızartma tavası
2159,chuck roast,kızartma
2160,chuck steak,ayna biftek
2161,chunk chicken,parça tavuk
2162,chunk chicken breast,parça tavuk göğsü
2163,chunk chicken in water,suda parçalanmış tavuk
2164,"chunk chicken,","ons) kutu parça tavuk, süzülmüş"
2165,chunk tuna,ton balığı
2166,chunk tuna in water,suda parça ton balığı
2167,chunked chicken breast,parçalanmış tavuk göğsü
2168,chunked summer squash,tohumlu parçalanmış yaz kabağı
2169,chunky applesauce,tıknaz elma püresi
2170,chunky blue cheese dressing,tıknaz mavi peynir sosu
2171,chunky chicken,tıknaz tavuk
2172,chunky creamy peanut butter,tıknaz kremalı fıstık ezmesi
2173,chunky marinara sauce,marinara sosu
2174,chunky natural peanut butter,tıknaz doğal fıstık ezmesi
2175,chunky pasta sauce,makarna sosu
2176,chunky peanut butter,iri fıstık ezmesi
2177,chunky salsa,tıknaz salsa
2178,chunky salsa verde,tıknaz salsa verde
2179,chunky spaghetti sauce,spagetti sosu
2180,chunky style blue cheese salad dressing,tıknaz stil mavi peynirli salata sosu
2181,chunky style salsa,tıknaz tarzı salsa
2182,chunky tomato sauce,domates sosu
2183,churro,Churro
2184,chutney,Hint turşusu
2185,ciabatta bread,ciabatta ekmeği
2186,cider vinegar,elma sirkesi
2187,cilantro,kişniş
2188,cilantro chutney,kişniş turşusu
2189,cilantro essential oil,kişniş esansiyel yağı
2190,cilantro leave,kişniş izni
2191,cilantro leave stem,kişniş yaprağı sapı
2192,cilantro leave thinner stem,kişnişin daha sapını bırakın
2193,cilantro parsley,kişniş maydanoz
2194,cilantro paste,kişniş ezmesi
2195,cilantro root,kişniş kökü
2196,cilantro sprig,kişniş dalı
2197,cilantro stem,kişniş sapı
2198,cilantro stem discarded leave,kişniş sapı atılmış izin
2199,cilantro to,kişniş
2200,"cilantro,","demet kişniş,"
2201,"cilantro, or to taste",kişniş
2202,cinderella pumpkin,külkedisi kabak
2203,cinnamon,tarçın
2204,cinnamon almond,tarçınlı badem
2205,cinnamon applesauce,tarçınlı elma püresi
2206,cinnamon bagel,tarçınlı simit
2207,cinnamon baking chip,tarçınlı pişirme çipi
2208,"cinnamon bite-sized cereal (such as Cinnamon Toast Crunch""",tarçınlı mısır gevreği (Tarçınlı Tost Crunch gibi
2209,cinnamon bread,tarçınlı ekmek
2210,cinnamon bread raisin,tarçınlı ekmek kuru üzüm
2211,cinnamon bun frosting,tarçınlı çörek
2212,cinnamon bun topping,tarçınlı çörek
2213,cinnamon candy,tarçın şekeri
2214,cinnamon cereal,tarçınlı mısır gevreği
2215,cinnamon chex cereal,tarçınlı chex mısır gevreği
2216,cinnamon chip,tarçın çipi
2217,"cinnamon chips, divided","tarçın parçacıkları, bölünmüş"
2218,cinnamon coated raisin,tarçın kaplı kuru üzüm
2219,cinnamon dusting,tarçın tozu
2220,cinnamon flavored applesauce,tarçın aromalı elma püresi
2221,cinnamon graham cracker,tarçınlı graham kraker
2222,cinnamon graham cracker crumb,tarçınlı graham kraker kırıntısı
2223,cinnamon graham cracker sticks (such as bone-shaped Scooby-Doo snacks,tarçınlı graham kraker çubukları (kemik şeklindeki Scooby-Doo atıştırmalıkları gibi
2224,cinnamon granola,tarçınlı granola
2225,cinnamon oil,tarçın yağı
2226,cinnamon raisin bread,tarçınlı üzümlü ekmek
2227,cinnamon roll,tarçınlı rulo
2228,cinnamon roll dough,tarçınlı rulo hamuru
2229,cinnamon roll dough cream cheese frosting,tarçınlı rulo hamur krem ​​peynir kreması
2230,cinnamon roll dough glaze,tarçınlı rulo hamur sır
2231,cinnamon roll dough icing,tarçınlı rulo hamur kreması
2232,cinnamon roll icing,tarçınlı rulo krema
2233,cinnamon schnapp,tarçınlı schnapp
2234,cinnamon sprinkling,tarçın serpme
2235,cinnamon stick,tarçın çubuğu
2236,cinnamon sugar,tarçın şekeri
2237,cinnamon swirl bread,tarçınlı girdap ekmeği
2238,cinnamon swirl coffee cake mix,ons) paket tarçınlı girdap kahveli kek karışımı
2239,cinnamon syrup,tarçın şurubu
2240,cinnamon to,tarçın
2241,"cinnamon, or to taste",tarçın veya tadı
2242,cinnamon-flavored crispy rice cereal squares (such as Cinnamon Chex,tarçın aromalı çıtır pirinç gevreği kareleri (Cinnamon Chex gibi
2243,cipollini onion,Cipollini soğanı
2244,citric acid,sitrik asit
2245,citric acid powder,sitrik asit tozu
2246,citru flavored soda,narenciye aromalı soda
2247,citru marinade,narenciye turşusu
2248,citru peel,narenciye kabuğu
2249,citrus flavored energy drink (e.g. Red Bull,ons) kutu narenciye aromalı enerji içeceği (örn. Red Bull
2250,clabber baking powder,Clabber kabartma tozu
2251,clabber baking soda,Clabber kabartma tozu
2252,clam,deniz tarağı
2253,clam in shell,kabuklu deniz tarağı
2254,clam juice,deniz tarağı suyu
2255,clam juice cocktail,deniz tarağı suyu kokteyli
2256,clam shell,deniz tarağı kabuğu
2257,clamshell mushroom,kapaklı mantar
2258,clarified butter,sade tereyağı
2259,classic alfredo sauce,klasik alfredo sosu
2260,classic coleslaw mix,klasik lahana salatası karışımı
2261,classic deli mustard,klasik şarküteri hardalı
2262,classic hoagie roll sesame seed,klasik hoagie roll susam tohumu
2263,classic pizza dough,klasik pizza hamuru
2264,classicmac pasta shell cheddar cheese,classicmac makarna kabuğu kaşar peyniri
2265,clay brick,kil tuğlası
2266,clean snow,temiz kar
2267,clean spinach,temiz ıspanak
2268,cleaned baby squid,temizlenmiş bebek kalamar
2269,cleaned calamari,temizlenmiş kalamar
2270,cleaned crawfish tail,temizlenmiş kerevit kuyruğu
2271,cleaned pumpkin seed,kabak temizlenmiş
2272,cleaned shrimp,temizlenmiş karides
2273,cleaned smelt,temizlenmiş koku
2274,cleaned whole pumpkin seed,bütün kabak çekirdeğini temizledim
2275,clear,temizlemek
2276,clear butter flavoring,temiz tereyağı aroması
2277,clear imitation vanilla extract,temiz taklit vanilya özü
2278,clear mint syrup,temiz nane şurubu
2279,clear vanilla extract,temiz vanilya özü
2280,clementine,clementine
2281,clementine orange,klemantin portakalı
2282,cling peache in heavy syrup,şeftalileri ağır şurupla tutun
2283,clingstone peache,yapışkan şeftali
2284,cloth,kumaş
2285,clove,karanfil
2286,clover blossom,Yonca çiçeği
2287,clover honey,yonca balı
2288,clover sprout,Yonca filizi
2289,cloves,karanfil
2290,club soda,kulüp sodası
2291,coarse-grain mustard,iri taneli hardal
2292,coarsely,kabaca
2293,coarsely almond,iri badem
2294,coarsely arugula,kaba roka
2295,coarsely basil,kaba fesleğen
2296,coarsely basil leave,iri fesleğen yaprağı
2297,coarsely beet,iri pancar
2298,coarsely bell pepper,iri dolmalık biber
2299,coarsely black pepper,iri karabiber
2300,coarsely blue cheese,iri mavi peynir
2301,coarsely blue honey almond,iri mavi bal badem
2302,coarsely bok choy cabbage,kabaca Çin lahanası lahanası
2303,coarsely broccoli,iri brokoli
2304,coarsely broccoli floret,iri brokoli çiçeği
2305,coarsely broken cinnamon graham cracker,iri kırılmış tarçınlı graham kraker
2306,coarsely buttery round cracker,iri tereyağlı yuvarlak kraker
2307,coarsely buttery round crackers,iri tereyağlı yuvarlak kraker
2308,coarsely cabbage,kaba lahana
2309,coarsely candied pecan,iri şekerlenmiş ceviz
2310,coarsely caper,kaba kapari
2311,coarsely carrot,iri havuç
2312,coarsely cashew,kaba kaju
2313,coarsely cauliflower,iri karnabahar
2314,coarsely celery,iri kereviz
2315,coarsely cherry,iri kiraz
2316,coarsely chicken,iri tavuk
2317,coarsely chinese cabbage,iri Çin lahanası
2318,coarsely chocolate,iri çikolata
2319,coarsely chocolate covered toffee candy bar,iri çikolata kaplı şekerleme şeker çubuğu
2320,coarsely chocolate creme filled sandwich cooky,iri çikolatalı krema dolgulu sandviç kurabiyesi
2321,coarsely cilantro,kaba kişniş
2322,coarsely cilantro leave,kaba kişniş izni
2323,coarsely cilantro stem,kaba kişniş sapı
2324,coarsely coffee,iri kahve
2325,coarsely coffee bean,iri kahve
2326,coarsely coriander,kaba kişniş
2327,coarsely corn chip,iri mısır cipsi
2328,coarsely corn flake,iri taneli mısır gevreği
2329,coarsely cracked pepper,iri biber
2330,coarsely cranberry,iri kızılcık
2331,coarsely cumin seed,iri kimyon tohumu
2332,coarsely dill,iri dereotu
2333,coarsely fig,iri incir
2334,coarsely flat leaf parsley,iri düz yapraklı maydanoz
2335,coarsely flax seed,iri keten tohumu
2336,coarsely fruit,iri meyve
2337,coarsely garlic,iri sarımsak
2338,coarsely garlic crouton,iri sarımsaklı kruton
2339,coarsely gingersnap,kaba zencefil
2340,coarsely gruyere cheese,iri gravyer peyniri
2341,coarsely hazelnut,iri fındık
2342,coarsely italian parsley,iri İtalyan maydanozu
2343,coarsely kalamata olive,iri kalamata zeytini
2344,coarsely kalamata other olive,iri kalamata diğer zeytin
2345,coarsely kale,kaba lahana
2346,coarsely leek,iri pırasa
2347,coarsely leftover turkey,kabaca kalan hindi
2348,coarsely lemon grass,iri limon otu
2349,coarsely lobster meat,iri ıstakoz eti
2350,coarsely macadamia nut,iri macadamia fıstığı
2351,coarsely mango,iri mango
2352,coarsely mint leave,iri nane yaprağı
2353,coarsely mozzarella cheese,iri mozzarella peyniri
2354,coarsely mushroom,kaba mantar
2355,coarsely nut,iri ceviz
2356,coarsely olive,iri zeytin
2357,coarsely onion,iri soğan
2358,coarsely parmesan cheese,iri parmesan peyniri
2359,coarsely parsley,iri maydanoz
2360,coarsely peanut,iri fıstık
2361,coarsely pecan,iri cevizli
2362,coarsely pepper,iri biber
2363,coarsely pepper to,iri taneli biber
2364,coarsely peppercorn,iri taneli karabiber
2365,coarsely peppermint candy,kaba nane şekeri
2366,coarsely peppermint candy cane,iri nane şeker kamışı
2367,coarsely pine nut,iri çam fıstığı
2368,coarsely pineapple,iri ananas
2369,coarsely pistachio,iri fıstık
2370,coarsely pistachio nut,iri fıstık ezmesi
2371,coarsely potato chip,iri patates cipsi
2372,coarsely pumpkin seed,iri kabak
2373,coarsely rhubarb,kaba ravent
2374,coarsely rosemary,iri biberiye
2375,coarsely salted peanut,iri tuzlu fıstık
2376,coarsely seedless watermelon,iri çekirdeksiz karpuz
2377,coarsely spinach,iri ıspanak
2378,coarsely spinach leave,iri ıspanak izni
2379,coarsely strawberry,iri çilek
2380,coarsely swiss cheese,iri İsviçre peyniri
2381,coarsely tarragon leave,iri tarhun yaprağı
2382,coarsely tomato,iri tohumlu domates
2383,coarsely torn basil,iri yırtılmış fesleğen
2384,coarsely torn cilantro,iri parçalanmış kişniş
2385,coarsely torn mint,iri parçalanmış nane
2386,coarsely torn thai basil,kaba yırtılmış Tay fesleğeni
2387,coarsely tortilla chip,iri tortilla cipsi
2388,coarsely trail mix,kaba iz karışımı
2389,coarsely unpeeled ginger,kaba soyulmamış zencefil
2390,coarsely unpeeled pear,kaba soyulmamış armut
2391,coarsely walnut,iri ceviz
2392,coarsely watermelon,iri tohumlu karpuz
2393,coarsely whole wheat cereal biscuit,iri tam buğdaylı tahıllı bisküvi
2394,coarsely zucchini,kaba kabak
2395,cocktail peanut,kokteyl fıstık
2396,cocktail rye bread,kokteyl çavdar ekmeği
2397,cocktail sauce,kokteyl sosu
2398,cocktail sausage,kokteyl sosisi
2399,cocktail shrimp,kokteyl karidesi
2400,cocktail size link sausage,kokteyl boyutunda bağlantı sosisi
2401,cocktail size meatball,kokteyl büyüklüğünde köfte
2402,cocktail sized meatball,kokteyl büyüklüğünde köfte
2403,cocktail wiener,kokteyl sosisi
2404,coco cream coconut,hindistan cevizi kreması hindistan cevizi
2405,cocoa,kakao
2406,cocoa chocolate,kakaolu çikolata
2407,cocoa mix,kakao karışımı
2408,cocoa nib,kakao ucu
2409,cocoa powder,kakao tozu
2410,cocoa powder dusting,kakao tozu tozu
2411,cocoa roast almond,kakaolu badem
2412,coconut,Hindistan cevizi
2413,coconut almond milk blend,Hindistan cevizi badem sütü karışımı
2414,coconut amino,Hindistan cevizi aminosu
2415,coconut butter,Hindistan cevizi yağı
2416,coconut cooky,Hindistan cevizi kurabiyesi
2417,coconut cream,Hindistan cevizi kreması
2418,coconut cream concentrate,hindistan cevizi kreması konsantresi
2419,coconut cream pudding mix,Hindistan cevizi kremalı puding karışımı
2420,coconut extract,Hindistan cevizi özü
2421,coconut flake,Hindistan cevizi gevreği
2422,coconut flavor,Hindistan cevizi aroması
2423,coconut flavored sparkling water,Hindistan cevizi aromalı maden suyu
2424,coconut flavoring,Hindistan cevizi aroması
2425,coconut flour,Hindistan cevizi unu
2426,coconut garlic paste,Hindistan cevizi sarımsak ezmesi
2427,coconut greek yogurt,hindistan cevizi yunan yoğurdu
2428,coconut in heavy syrup,ağır şuruplu hindistan cevizi
2429,coconut jam,Hindistan cevizi reçeli
2430,coconut juice,Hindistan cevizi suyu
2431,coconut meat,Hindistan cevizi eti
2432,coconut milk,Hindistan cevizi sütü
2433,coconut milk beverage,hindistan cevizi sütü içeceği
2434,coconut milk beverage (such as Silk®,hindistan cevizi sütlü içecek (Silk® gibi
2435,coconut milk powder,Hindistan cevizi sütü tozu
2436,coconut milk yogurt,hindistan cevizi sütü yoğurt
2437,"coconut milk, divided","ons) kutu hindistan cevizi sütü, bölünmüş"
2438,coconut oil,Hindistan cevizi yağı
2439,coconut oil at,Hindistan cevizi yağı
2440,coconut oil no stick cooking spray,Hindistan cevizi yağı yapışmaz pişirme spreyi
2441,coconut pecan frosting,Hindistan cevizi pekan buzlanma
2442,coconut pineapple sparkling water,Hindistan cevizi ananas köpüklü su
2443,coconut preserve,Hindistan cevizi konservesi
2444,coconut sap,Hindistan cevizi özü
2445,coconut sugar,Hindistan cevizi şekeri
2446,coconut vinegar,Hindistan cevizi sirkesi
2447,coconut water,Hindistan cevizi suyu
2448,coconut yogurt,Hindistan cevizi yoğurdu
2449,cod,morina
2450,cod fillet,morina filetosu
2451,cod other fish fillet,morina diğer balık filetosu
2452,cod steak,morina bifteği
2453,coffee,Kahve
2454,coffee bean,kahve
2455,coffee crystal,kahve kristali
2456,coffee flavored extract,kahve aromalı ekstrakt
2457,coffee granule,kahve granülü
2458,coffee granule dissolved in water,suda çözünmüş kahve granülü
2459,coffee ice cream,kahve dondurma
2460,coffee ice cube,kahve buz küpü
2461,coffee powder,kahve tozu
2462,cognac,konyak
2463,coho salmon,koho somonu
2464,cointreau,Cointreau
2465,cola carbonated beverage,kola gazlı içecek
2466,cola drink,kola içeceği
2467,cola flavored carbonated beverage,kola aromalı gazlı içecek
2468,colby cheese,Colby peyniri
2469,colby jack cheddar cheese,colby jack kaşar peyniri
2470,colby jack cheese,colby jack peyniri
2471,colby jack natural shred,colby jack doğal parçalama
2472,colby longhorn cheese,colby longhorn peyniri
2473,colby monterey jack cheese,colby monterey jack peyniri
2474,colby monterey jack cheese blend,colby monterey jack peynir karışımı
2475,colby pepperjack cheese,colby biberli peynir
2476,cold water,soğuk su
2477,cole slaw dressing,lahana salatası sosu
2478,coleslaw,lâhana salatası
2479,coleslaw dressing,lahana salatası sosu
2480,coleslaw mix,lahana salatası karışımı
2481,coleslaw mix cabbage carrot,lahana salatası karışımı lahana havuç
2482,coleslaw mix carrot,lahana salatası karışımı havuç
2483,collard green,karalahana yeşili
2484,college chicken broth,üniversite tavuk suyu
2485,college unsalted bold chicken stock,üniversite tuzsuz tavuk suyu
2486,color coleslaw blend,renkli lahana salatası karışımı
2487,color corn syrup,renkli mısır şurubu
2488,color paste food coloring,renkli macun gıda boyası
2489,colored candy coating melt,renkli şeker kaplama eriyiği
2490,colored candy decorating dragee,renkli şeker dekorasyon drajesi
2491,colored candy sprinkle,renkli şeker serpin
2492,colored decorating sugar,renkli dekorasyon şekeri
2493,colored honey,renkli bal
2494,colored rotini pasta,renkli rotini makarna
2495,colored soy sauce,renkli soya sosu
2496,colored sprinkle,renkli serpin
2497,colored sugar,renkli şeker
2498,colored sugar decoration,renkli şeker dekorasyonu
2499,colored sugar festive sprinkle,renkli şeker şenlikli serpin
2500,coloring,boyama
2501,coloring in rainbow color,gökkuşağı renginde boyama
2502,colossal shrimp,devasa karides
2503,combination fruit,kombinasyon meyvesi
2504,combined,kombine
2505,comice pear,komik armut
2506,complete buttermilk pancake mix,tam ayran gözleme karışımı
2507,complete honey wheat pancake mix,tam ballı buğday gözleme karışımı
2508,complete pancake mix,tam gözleme karışımı
2509,compressed yeast,sıkıştırılmış maya
2510,comteacute cheese,peynir
2511,concentrated beef base,konsantre sığır eti bazı
2512,concentrated fruit punch,konsantre meyve püresi
2513,concentrated liquid shrimp crab boil,konsantre sıvı karides yengeç kaynatma
2514,concentrated raspberry juice,konsantre ahududu suyu
2515,conch,deniz kabuğu
2516,conch meat,deniz kabuğu eti
2517,conchiglie pasta,conchiglie makarna
2518,concord grape,uyum üzümü
2519,concord grape jelly,concord üzüm jölesi
2520,condensed,yoğunlaştırılmış
2521,condensed beef broth,yoğunlaştırılmış et suyu
2522,condensed beef consomm,yoğunlaştırılmış sığır konsomesi
2523,condensed beef consomme,yoğunlaştırılmış sığır konsomesi
2524,condensed beef consomme condensed beef broth,yoğunlaştırılmış sığır eti konsome yoğunlaştırılmış sığır eti suyu
2525,condensed beef mushroom soup,yoğunlaştırılmış sığır eti mantar çorbası
2526,condensed broccoli cheese soup,yoğunlaştırılmış brokoli peynir çorbası
2527,condensed broccoli cheese soup condensed free broccoli cheese soup,yoğunlaştırılmış brokoli peynir çorbası yoğunlaştırılmış ücretsiz brokoli peynir çorbası
2528,condensed cheddar cheese soup,yoğunlaştırılmış çedar peyniri çorbası
2529,condensed cheese soup,yoğunlaştırılmış peynir çorbası
2530,condensed chicken broth,yoğunlaştırılmış tavuk suyu
2531,condensed chicken gumbo soup,yoğunlaştırılmış tavuk bamya çorbası
2532,condensed chicken rice soup,yoğunlaştırılmış tavuklu pirinç çorbası
2533,condensed cream broccoli soup,yoğunlaştırılmış kremalı brokoli çorbası
2534,condensed cream celery soup,yoğunlaştırılmış kremalı kereviz çorbası
2535,condensed cream celery soup condensed free cream celery soup,yoğunlaştırılmış kremalı kereviz çorbası yoğunlaştırılmış serbest kremalı kereviz çorbası
2536,condensed cream cheddar cheese soup,yoğunlaştırılmış kremalı çedar peyniri çorbası
2537,condensed cream chicken cream mushroom soup,yoğunlaştırılmış kremalı tavuk kremalı mantar çorbası
2538,condensed cream chicken soup,yoğunlaştırılmış kremalı tavuk çorbası
2539,condensed cream chicken soup herb,yoğunlaştırılmış kremalı tavuk çorbası otu
2540,condensed cream mushroom soup,yoğunlaştırılmış kremalı mantar çorbası
2541,condensed cream mushroom soup condensed free cream mushroom soup,yoğunlaştırılmış kremalı mantar çorbası yoğunlaştırılmış ücretsiz kremalı mantar çorbası
2542,condensed cream mushroom soup garlic,yoğunlaştırılmış kremalı mantar çorbası sarımsak
2543,condensed cream of chicken soup,yoğunlaştırılmış kremalı tavuk çorbası
2544,condensed cream onion soup,yoğunlaştırılmış kremalı soğan çorbası
2545,condensed cream potato soup,yoğunlaştırılmış kremalı patates çorbası
2546,condensed cream shrimp soup,yoğunlaştırılmış kremalı karides çorbası
2547,condensed cream tomato soup,yoğunlaştırılmış kremalı domates çorbası
2548,condensed creamy poblano queso soup,yoğunlaştırılmış kremalı poblano queso çorbası
2549,condensed fiesta nacho cheese soup,yoğunlaştırılmış fiesta nacho peynir çorbası
2550,condensed fiesta style nacho cheese soup,yoğunlaştırılmış fiesta tarzı nacho peynir çorbası
2551,condensed french onion soup,yoğunlaştırılmış fransız soğan çorbası
2552,condensed milk,yoğunlaştırılmış süt
2553,condensed mincemeat,yoğunlaştırılmış kıyma
2554,condensed minestrone soup,yoğunlaştırılmış sebzeli çorba
2555,condensed mushroom soup,yoğunlaştırılmış mantar çorbası
2556,condensed nacho cheese soup,yoğunlaştırılmış nacho peynir çorbası
2557,condensed onion soup,yoğunlaştırılmış soğan çorbası
2558,condensed pepper tomato soup,yoğunlaştırılmış biber domates çorbası
2559,condensed reduced fat cream chicken soup,yoğunlaştırılmış yağı azaltılmış kremalı tavuk çorbası
2560,condensed reduced fat reduced sodium cream celery soup,yoğunlaştırılmış yağı azaltılmış sodyum kremalı kereviz çorbası
2561,condensed reduced fat reduced sodium cream chicken soup,yoğunlaştırılmış yağı azaltılmış sodyum kremalı tavuk çorbası
2562,condensed tomato,yoğunlaştırılmış domates
2563,condensed tomato soup,yoğunlaştırılmış domates çorbası
2564,condensed vegetable beef soup,yoğunlaştırılmış sebzeli sığır çorbası
2565,condensed vegetable soup,yoğunlaştırılmış sebze çorbası
2566,cone,koni
2567,cone shaped corn snack,koni şeklinde mısır aperatifi
2568,confectioner chocolate,şekerci çikolata
2569,confectioner coating,şekerleme kaplama
2570,confectioner coating premium chocolate chip,birinci sınıf çikolata parçacıklı şekerleme kaplama
2571,confectioner measure,şekerci ölçüsü
2572,confectioner sugar,şekerlemeler şekeri
2573,confectioner sugar decoration,şekerleme şekeri dekorasyonu
2574,confectioner sugar dusting,şekerleme şekerleme
2575,confectioner sugar rolling,şekerlemeci şeker haddeleme
2576,confectioners' sugar,şekerleme şekeri
2577,"confectioners' sugar, sifted","şekerleme şekeri, elenmiş"
2578,confectionery candy coating,şekerleme şeker kaplama
2579,container,konteyner
2580,container cream cheese frosting,ons) kap krem ​​peynirli krema
2581,"container cream cheese-style spread (such as Kite Hill""), room temperature","ons) kap krem ​​peynir tarzı krema (Kite Hill gibi), oda sıcaklığı"
2582,container light sour cream,ons) kap hafif ekşi krema
2583,container sour cream,ons) kap ekşi krema
2584,"container Spam"" into 1/4 inch slices","ons) konteyner Spam"", 1/4 inç kalınlığında dilimler halinde"
2585,container vegetable oil,konteyner bitkisel yağ
2586,container whipped cream cheese,ons) kap krem ​​şanti peyniri
2587,converted long grain rice,dönüştürülmüş uzun taneli pirinç
2588,converted rice,dönüştürülmüş pirinç
2589,cook in,pişirmek
2590,cook serve butterscotch pudding mix,tereyağlı puding karışımı servis et
2591,cook serve vanilla pudding,vanilyalı puding pişirin
2592,cook serve vanilla pudding mix,pişirmek vanilyalı puding karışımı servis etmek
2593,cookie butter,Kurabiye tereyağı
